id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
847945469659675739,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,16783105,Mike,,District 11,32.88542,-96.77111,Entire home/apt,72,10,1,2023-05-20,0.52,6,331,1,
848049148546029732,Home in Dallas · ★5.0 · 2 bedrooms · 3 beds · 1 bath,429952199,Kayli,,District 1,32.7389894,-96.8294682,Entire home/apt,192,1,30,2023-06-24,7.38,29,341,30,
848067890891414343,Rental unit in Dallas · ★5.0 · 2 bedrooms · 2 beds · 2 baths,505604968,Jonathan,,District 1,32.749112,-96.849358,Entire home/apt,101,1,23,2023-07-04,6.39,1,347,23,
848080537608468348,Rental unit in Dallas · ★4.69 · 1 bedroom · 3 beds · 1 bath,65910330,Ten,,District 2,32.785688169377465,-96.78234050137215,Entire home/apt,156,1,29,2023-07-09,7.19,1,340,29,
848511027267805099,Home in Dallas · 2 bedrooms · 3 beds · 2 baths,348349828,Matthew,,District 10,32.92063748778095,-96.73870531944235,Entire home/apt,139,30,0,,,1,349,0,
848545291546354846,Home in Dallas · 5 bedrooms · 6 beds · 2 baths,439770137,Respiro Properties,,District 11,32.93542961694543,-96.7697374084403,Entire home/apt,211,1,0,,,1,291,0,
848562207336948862,Rental unit in Dallas · ★4.65 · 1 bedroom · 2 beds · 1 bath,10901678,Vera,,District 14,32.82264133630715,-96.7647957708866,Entire home/apt,81,1,17,2023-07-14,4.72,25,313,17,
848850153995490424,Guesthouse in Dallas · 1 bedroom · 1 bed · 1 bath,26711264,Jan,,District 9,32.84217660945823,-96.71031598829084,Entire home/apt,125,14,1,2023-04-20,0.34,4,74,1,
849195310314170268,Home in Dallas · ★4.75 · 2 bedrooms · 3 beds · 1 bath,456475914,Evolve,,District 1,32.73667,-96.87532,Entire home/apt,119,2,4,2023-05-30,1.06,34,356,4,
849278143740636187,Home in Dallas · ★4.13 · 1 bedroom · 1 bed · 1 shared bath,450089260,Jolenne,,District 7,32.752908415839244,-96.76885186217791,Private room,40,1,8,2023-07-01,2.35,11,172,8,
